Clave   Longitud     Latitud    Elevacion
AGUA    -95.111397   17.973499  38.0
AGUC    -95.037102   17.877701  115.0
CANU    -95.0709     17.7052    87.0
CATE    -95.123802   18.3997    334.0
CAUD    -95.066704   17.8204    106.0
CERQ    -95.0494     17.9083    53.0
CHIL    -95.002296   16.831699  0.0
CHIV    -94.994698   16.7311    0.0
CONU    -95.119598   18.1106    63.0
COYO    -95.117699   18.153     58.0
CUAU    -95.051804   17.7516    70.0
DONA    -95.059196   17.230101  73.0
EBTT    -95.073997   18.5842    196.0
ELME    -94.957703   16.693899  210.0
ESMA    -95.0466     18.017599  110.0
GUVI    -95.0886     17.639799  902.0
INUV    -95.045799   18.459499  503.0
IXTA    -95.059097   16.503599  0.0
IXTE    -95.122299   16.563499  64.0
JECA    -95.024002   17.4307    42.0
JUCH    -95.012199   16.449699  0.0
LACU    -95.049698   17.333401  117.0
MACA    -95.021004   17.596399  36.0
MANG    -95.124702   18.237499  344.0
MARO    -95.036201   16.882     210.0
MAZH    -94.947403   16.6325    149.0
MEAG    -95.026604   17.6637    37.0
MOGO    -95.028297   17.0054    106.0
MONT    -95.094398   18.6387    0.0
NUMO    -95.084801   17.526899  63.0
PALO    -95.065903   17.141399  114.0
PARE    -95.045998   17.0742    106.0
RACI    -95.083801   18.180799  135.0
RIVA    -95.0289     16.764299  189.0
ROLI    -95.101997   16.3151    65.0
SAJO    -95.069801   17.770399  63.0
SAMM    -94.9944     16.2082    0.0
SARO    -95.117401   18.2969    495.0
SONT    -95.035202   18.504     35.0
SUCH    -94.9888     17.3801    53.0
TOLO    -95.0466     17.195     45.0
XADA    -95.023399   16.367701  0.0
ZAPO    -95.097603   18.332899  520.0
