freq,mag,phase
0.001,0.715206287,177.5752748
0.001122018,0.900391159,177.2792041
0.001258925,1.133524891,176.946921
0.001412538,1.427022453,176.5739714
0.001584893,1.796513158,176.155343
0.001778279,2.261672732,175.6853916
0.001995262,2.847270621,175.157755
0.002238721,3.584488064,174.565254
0.002511886,4.512576623,173.899776
0.002818383,5.680944534,173.1521379
0.003162278,7.151779991,172.311923
0.003548134,9.003347193,171.3672852
0.003981072,11.33412285,170.3047118
0.004466836,14.26797795,169.108734
0.005011872,17.9606497,167.7615691
0.005623413,22.60778682,166.242678
0.006309573,28.45487392,164.5282139
0.007079458,35.8093205,162.5903384
0.007943282,45.05487742,160.3963794
0.008912509,56.66820215,157.9078161
0.01,71.23660802,155.0791052
0.011220185,89.47438502,151.8564315
0.012589254,112.2318545,148.1766155
0.014125375,140.4854361,143.9666948
0.015848932,175.2872954,139.1452036
0.017782794,217.6398035,133.6269647
0.019952623,268.2490204,127.3341375
0.022387211,327.1230416,120.216633
0.025118864,393.0563378,112.2829547
0.028183829,463.214113,103.635493
0.031622777,533.2213701,94.49267017
0.035481339,598.0802027,85.17398756
0.039810717,653.6607384,76.03903127
0.044668359,697.8843965,67.40526543
0.050118723,730.8845354,59.48806548
0.056234133,754.283916,52.38695775
0.063095734,770.2579545,46.10841166
0.070794578,780.8748261,40.60118691
0.079432823,787.8038485,35.78693578
0.089125094,792.2717828,31.58034369
0.1,795.1301917,27.89997383
0.112201845,796.9496094,24.67293488
0.125892541,798.1038854,21.83609618
0.141253754,798.8345861,19.33563869
0.158489319,799.2964288,17.12595016
0.177827941,799.5879514,15.16837252
0.199526231,799.771685,13.43002741
0.223872114,799.8872134,11.88280113
0.251188643,799.9595473,10.50250177
0.281838293,800.0044599,9.26817306
0.316227766,800.0318736,8.161539904
0.354813389,800.0480034,7.166560557
0.398107171,800.05671,6.269062993
0.446683592,800.0603515,5.456447193
0.501187234,800.0603174,4.717438684
0.562341325,800.0573604,4.04188192
0.630957344,800.0517991,3.420564663
0.707945784,800.043638,2.845066561
0.794328235,800.032632,2.307626603
0.891250938,800.0183148,1.801025361
1,800,1.318478719
1.122018454,799.9767604,0.853540465
1.258925412,799.9473895,0.400011606
1.412537545,799.9103437,-0.048145434
1.584893192,799.8636646,-0.496889265
1.77827941,799.8048779,-0.952180021
1.995262315,799.730864,-1.420059116
2.238721139,799.6376945,-1.906729405
2.511886432,799.5204253,-2.418636821
2.818382931,799.3728378,-2.962554484
3.16227766,799.1871125,-3.545670222
3.548133892,798.9534223,-4.175678406
3.981071706,798.6594217,-4.860876873
4.466835922,798.2896114,-5.610269634
5.011872336,797.8245462,-6.433675841
5.623413252,797.2398527,-7.341845247
6.309573445,796.5050144,-8.346579955
7.079457844,795.5818788,-9.460861697
7.943282347,794.4228314,-10.69898299
8.912509381,792.9685844,-12.07667932
10,791.145525,-13.6112579
11.22018454,788.8625842,-15.32171608
12.58925412,786.0076088,-17.22883974
14.12537545,782.4432746,-19.35526761
15.84893192,778.0026592,-21.72550302
17.7827941,772.4847347,-24.36584821
19.95262315,765.6502382,-27.30422987
22.38721139,757.2186679,-30.56987829
25.11886432,746.8675134,-34.19281692
28.18382931,734.2352556,-38.2031186
31.6227766,718.9300721,-42.62989002
35.48133892,700.5464144,-47.49996313
39.81071706,678.6914396,-52.8363034
44.66835922,653.0223789,-58.6561907
50.11872336,623.2940463,-64.96928433
56.23413252,589.4128108,-71.77573657
63.09573445,551.4899071,-79.06454894
70.79457844,509.8839702,-86.81235457
79.43282347,465.2215321,-94.98275281
89.12509381,418.3860527,-103.526239
100,370.4710534,-112.3807063
112.2018454,322.69995,-121.4724874
125.8925412,276.32232,-130.7179642
141.2537545,232.5017022,-140.0258442
158.4893192,192.2124586,-149.3002197
177.827941,156.1621792,-158.4444072
199.5262315,124.7515138,-167.3653436
223.8721139,98.07577278,-175.9780713
251.1886432,75.9638932,175.790296
281.8382931,58.04304754,167.9976865
316.227766,43.81365727,160.6856089
354.8133892,32.72060335,153.8791638
398.1071706,24.21083545,147.5883045
446.6835922,17.77314201,141.8099629
501.1872336,12.9605527,136.5306149
562.3413252,9.398699121,131.7289181
630.9573445,6.784460005,127.3781551
707.9457844,4.878927599,123.4483337
794.3282347,3.497818581,119.9078817
891.2509381,2.501416755,116.7249437
1000,1.785249209,113.8683205
,,
